init_id,resp_id,n_samples,mean_mm,std_mm,var_mm2,min_mm,max_mm,true_dist_mm,bias_mm
74,71,46,6412.65,51.6,2662.53,6261,6510,6440.6,-28.0
74,73,12,10034.83,39.51,1560.97,9974,10105,10140.0,-105.2
74,75,18,9594.11,46.46,2158.32,9472,9699,9610.0,-15.9
74,76,36,5810.86,69.73,4861.62,5682,6031,5954.0,-143.2
74,77,38,5730.26,48.89,2390.67,5640,5855,6033.7,-303.5
75,64,14,19454.07,1742.44,3036112.78,16995,21929,8780.2,10673.9
75,65,26,9203.81,69.7,4858.62,9054,9329,9517.0,-313.2
75,70,48,5988.83,58.41,3412.26,5818,6076,6430.4,-441.5
75,74,25,9010.48,51.78,2681.61,8918,9108,9610.0,-599.5
75,76,44,5120.82,58.48,3420.01,5002,5281,5561.8,-441.0
76,70,39,4908.95,43.35,1879.13,4833,4997,5670.7,-761.8
76,71,38,5316.03,41.36,1710.39,5182,5389,5932.6,-616.5
76,74,40,5076.12,42.48,1804.41,5002,5246,5954.0,-877.9
76,75,46,4944.67,36.1,1303.05,4873,5032,5561.8,-617.1
76,77,42,9201.86,43.71,1910.36,9106,9293,10130.2,-928.4
77,71,37,5886.08,45.44,2064.78,5769,5982,6088.7,-202.6
77,72,43,5934.12,55.68,3100.1,5818,6066,5956.3,-22.1
77,73,27,5941.81,56.49,3191.34,5841,6064,6000.0,-58.2
77,74,42,5643.71,52.11,2715.39,5501,5750,6033.7,-390.0
77,76,45,9894.82,147.84,21856.9,9723,10314,10130.2,-235.4
